,ID_CLIENT,AGE,GENDER,EDUCATION,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,TARGET,AGREEMENT_RK,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,106805103,42,1,Среднее,1,0,1,0,25000.0,1.0,60099204.0,1.0,0.0
1,106809308,28,1,Среднее специальное,1,0,1,1,10000.0,0.0,62244665.0,1.0,0.0
2,106805867,64,0,Среднее специальное,1,1,2,0,30000.0,0.0,61050759.0,1.0,1.0
3,106808779,54,1,Среднее специальное,1,0,0,0,25000.0,0.0,62079659.0,1.0,0.0
4,106814289,26,0,Среднее специальное,1,0,1,1,15000.0,0.0,66583553.0,2.0,2.0
5,106814758,63,1,Среднее,0,1,2,0,7800.0,0.0,66759647.0,1.0,1.0
6,106804821,32,0,Среднее специальное,1,0,0,0,12000.0,1.0,60045224.0,1.0,0.0
7,106814344,52,1,Среднее,1,0,1,0,8000.0,0.0,66593813.0,3.0,3.0
8,106809579,47,0,Среднее,1,0,2,0,10000.0,0.0,62380912.0,1.0,0.0
9,106813445,23,1,Среднее специальное,1,0,0,0,7000.0,0.0,65420244.0,1.0,1.0
10,106812816,42,1,Среднее специальное,1,0,2,1,9000.0,0.0,64885090.0,1.0,0.0
11,106806676,31,1,Среднее специальное,1,0,0,0,12000.0,0.0,61241205.0,1.0,0.0
12,106813305,25,1,Высшее,1,0,0,0,4900.0,0.0,65396723.0,1.0,1.0
13,106811087,37,1,Среднее специальное,1,0,2,2,20000.0,0.0,63590644.0,1.0,0.0
14,106809086,52,1,Среднее специальное,0,1,3,0,5500.0,0.0,62168155.0,1.0,0.0
15,106818497,46,1,Среднее,1,0,2,0,55000.0,0.0,74560681.0,2.0,2.0
16,106805396,28,1,Среднее,1,0,1,1,8500.0,0.0,60387399.0,1.0,0.0
17,106810469,62,1,Неполное среднее,0,1,0,0,8000.0,0.0,62810257.0,1.0,0.0
18,106807246,50,0,Среднее специальное,1,0,1,0,20000.0,0.0,61376906.0,1.0,0.0
19,106809151,30,1,Среднее специальное,1,0,2,2,5000.0,1.0,62178934.0,1.0,0.0
20,106806814,64,0,Высшее,0,1,0,0,9000.0,0.0,61257026.0,1.0,0.0
21,106809097,41,1,Среднее,1,0,0,0,6500.0,0.0,62171073.0,1.0,0.0
22,106811950,27,1,Среднее специальное,1,0,0,0,7000.0,0.0,64365052.0,1.0,1.0
23,106805618,41,1,Среднее специальное,1,0,0,0,8000.0,0.0,60456097.0,1.0,1.0
24,106819249,30,1,Высшее,1,0,0,0,15000.0,0.0,75021737.0,3.0,2.0
25,106818810,61,1,Среднее специальное,1,1,2,0,27000.0,0.0,74834078.0,1.0,0.0
26,106816627,38,1,Среднее,1,0,0,1,15000.0,0.0,67335615.0,3.0,1.0
27,106813813,51,1,Среднее,1,0,0,0,6000.0,0.0,66194407.0,1.0,0.0
28,106810992,58,0,Среднее,0,1,2,0,10500.0,0.0,63326150.0,1.0,0.0
29,106804376,35,0,Высшее,1,0,1,1,15000.0,0.0,59911832.0,2.0,2.0
30,106814732,45,0,Среднее,1,0,2,1,20000.0,0.0,66756441.0,4.0,4.0
31,106813352,25,1,Среднее,1,0,0,0,9000.0,0.0,65405795.0,2.0,2.0
32,106808812,62,1,Среднее специальное,1,1,2,0,13000.0,0.0,62083785.0,1.0,0.0
33,106808912,30,1,Среднее специальное,1,0,1,1,11000.0,0.0,62128075.0,1.0,0.0
34,106807419,56,1,Неполное среднее,1,1,3,0,20000.0,0.0,61427836.0,1.0,1.0
35,106820101,33,1,Среднее,1,0,1,1,,,,0.0,0.0
36,106810124,36,1,Среднее,1,0,1,1,15000.0,0.0,62599729.0,1.0,0.0
37,106810291,55,1,Высшее,1,0,2,0,13000.0,0.0,62623117.0,1.0,0.0
38,106806782,29,0,Среднее,1,0,1,1,25000.0,0.0,61253219.0,1.0,0.0
39,106811473,32,0,Среднее специальное,1,0,2,1,21000.0,0.0,63913234.0,1.0,0.0
40,106815597,36,0,Среднее,1,0,1,1,15000.0,0.0,67020373.0,2.0,2.0
41,106806966,27,0,Среднее специальное,1,0,2,2,6500.0,0.0,61306799.0,1.0,0.0
42,106807263,41,0,Среднее специальное,1,0,3,2,10000.0,0.0,61378742.0,1.0,0.0
43,106816932,54,1,Среднее,0,1,2,0,6500.0,0.0,67531672.0,1.0,0.0
44,106805731,52,0,Среднее специальное,1,0,1,0,30000.0,0.0,60468475.0,1.0,1.0
45,106815450,28,1,Среднее специальное,1,0,1,1,12000.0,0.0,66961178.0,1.0,0.0
46,106815247,26,1,Среднее специальное,1,0,1,1,8000.0,0.0,66902951.0,1.0,0.0
47,106808385,27,0,Среднее,1,0,1,1,20000.0,0.0,61958864.0,1.0,0.0
48,106812479,28,0,Среднее специальное,1,0,0,0,12000.0,1.0,64564180.0,1.0,0.0
49,106806694,25,1,Среднее специальное,1,0,1,1,11000.0,0.0,61243509.0,1.0,0.0
50,106817240,39,1,Среднее,1,0,2,2,8000.0,0.0,72289471.0,2.0,1.0
51,106814406,64,1,Высшее,1,0,0,0,23000.0,1.0,66661261.0,1.0,0.0
52,106811422,43,0,Неполное среднее,1,0,1,1,20000.0,0.0,63907628.0,1.0,0.0
53,106813026,44,0,Среднее специальное,1,0,0,0,22000.0,0.0,65007484.0,1.0,0.0
54,106811785,34,1,Высшее,1,0,2,2,15000.0,0.0,64335140.0,1.0,0.0
55,106814631,34,1,Среднее,1,0,1,1,7000.0,1.0,66745524.0,2.0,2.0
